,x,y,name,angle
0,1.9335439009794722,6.608144750054576, nathan philips square, 2.85
1,7.149224955401224,5.829809551226331, casa loma, 0.61
2,8.751748034275796,4.740311813317599, princes gates, -0.48
3,3.2193478265393454,1.4034887582903772, cn tower, -1.33
